Address	Ordinal	Name	Library
0040A4EC	10891	CMFCToolBar::OnUserToolTip(CMFCToolBarButton *,ATL::CStringT<wchar_t,StrTraitMFC_DLL<wchar_t,ATL::ChTraitsCRT<wchar_t>>> &)	mfc100u
0040A4F0	8226	CMFCToolBar::OnChangeHot(int)	mfc100u
0040A4F4	8245	CMFCToolBar::OnChangeVisualManager(void)	mfc100u
0040A4F8	2313	CMFCToolBar::CalcLayout(ulong,int)	mfc100u
0040A4FC	3712	CMFCToolBar::DrawButton(CDC *,CMFCToolBarButton *,CMFCToolBarImages *,int,int)	mfc100u
0040A500	3725	CMFCToolBar::DrawDragCursor(CDC *)	mfc100u
0040A504	1937	AFXGetParentFrame(CWnd const *)	mfc100u
0040A508	9073	CMFCToolBar::OnDrop(COleDataObject *,ulong,CPoint)	mfc100u
0040A50C	8637	CMFCToolBar::OnDragEnter(COleDataObject *,ulong,CPoint)	mfc100u
0040A510	8642	CMFCToolBar::OnDragLeave(void)	mfc100u
0040A514	8652	CMFCToolBar::OnDragOver(COleDataObject *,ulong,CPoint)	mfc100u
0040A518	8019	CMFCToolBar::NotifyControlCommand(CMFCToolBarButton *,int,int,uint,long)	mfc100u
0040A51C	4195	CMFCToolBar::FindDropIndex(CPoint,CRect &)	mfc100u
0040A520	1786	CMFCToolBar::AdjustLocations(void)	mfc100u
0040A524	3790	CMFCToolBar::DrawSeparator(CDC *,CRect const &,int)	mfc100u
0040A528	2911	CMFCToolBar::CreateDroppedButton(COleDataObject *)	mfc100u
0040A52C	8514	CMFCToolBar::OnCustomizeMode(int)	mfc100u
0040A530	3890	CMFCToolBar::EnableContextMenuItems(CMFCToolBarButton *,CMenu *)	mfc100u
0040A534	8162	CMFCToolBar::OnCalcSeparatorRect(CMFCToolBarButton *,CRect &,int)	mfc100u
0040A538	1695	CMFCToolBar::AddRemoveSeparator(CMFCToolBarButton const *,CPoint const &,CPoint const &)	mfc100u
0040A53C	12986	CMFCToolBar::ShowCommandMessageString(uint)	mfc100u
0040A540	2316	CMFCToolBar::CalcMaxButtonHeight(void)	mfc100u
0040A544	8087	CMFCToolBar::OnAfterButtonDelete(void)	mfc100u
0040A548	11887	CMFCToolBar::SaveOriginalState(CSettingsStore &)	mfc100u
0040A54C	7580	CMFCToolBar::LoadLastOriginalState(CSettingsStore &)	mfc100u
0040A550	13065	CMFCToolBar::SmartUpdate(CObList const &)	mfc100u
0040A554	5832	CDockablePane::GetRuntimeClass(void)	mfc100u
0040A558	12034	CDockablePane::Serialize(CArchive &)	mfc100u
0040A55C	8393	CWnd::OnCommand(uint,long)	mfc100u
